Timestamp,Series_No,Product_No,class
Timestamp: 01/23/15 06:38:31,XK00001402,5749,Failure
Timestamp: 01/23/15 06:40:31,XK00001402,970,OK
Timestamp: 01/23/15 06:40:41,XK00001402,8326,Failure
Timestamp: 01/23/15 06:42:18,XK00001402,2990,OK
Timestamp: 01/24/15 06:42:34,XK00001402,1442,OK
Timestamp: 01/25/15 06:47:52,XK00001402,3804,OK
Timestamp: 01/26/15 06:52:32,XK00001402,1051,OK
Timestamp: 01/27/15 06:54:42,XK00001402,1227,OK
Timestamp: 01/27/15 07:00:01,XK00001402,6425,Failure
Timestamp: 01/27/15 07:05:24,XK00001402,1881,OK
Timestamp: 01/27/15 07:06:50,XK00001402,3003,OK
Timestamp: 01/27/15 07:07:01,XK00001402,1061,OK
Timestamp: 01/27/15 07:09:48,XK00001402,2043,OK
Timestamp: 01/27/15 07:12:08,XK00001402,4015,OK
Timestamp: 01/28/15 07:17:43,XK00001402,2768,OK
Timestamp: 01/28/15 07:19:42,XK00001402,1381,OK
Timestamp: 01/29/15 07:24:00,XK00001402,5363,Failure
Timestamp: 01/29/15 07:24:40,XK00001402,1597,OK
Timestamp: 01/29/15 07:26:34,XK00001402,7044,Failure
Timestamp: 01/29/15 07:28:14,XK00001402,4153,OK
Timestamp: 01/29/15 07:31:10,XK00001402,3932,OK
Timestamp: 01/30/15 07:36:40,XK00001402,1554,OK
Timestamp: 01/31/15 07:37:15,XK00001402,3096,OK
Timestamp: 01/31/15 07:38:01,XK00001402,3286,OK
Timestamp: 01/31/15 07:41:22,XK00001402,1087,OK
Timestamp: 02/01/15 07:45:15,XK00001402,5226,Failure
Timestamp: 02/01/15 07:48:35,XK00001402,1971,OK
Timestamp: 02/01/15 07:51:48,XK00001402,5288,Failure
Timestamp: 02/02/15 07:56:38,XK00001402,2396,OK
Timestamp: 02/02/15 08:01:00,XK00001402,1090,OK
Timestamp: 02/02/15 08:03:02,XK00001402,7125,Failure
Timestamp: 02/02/15 08:04:34,XK00001402,5995,Failure
Timestamp: 02/02/15 08:10:11,XK00001402,1671,OK
Timestamp: 02/02/15 08:14:17,XK00001402,1670,OK
Timestamp: 02/02/15 08:20:11,XK00001402,1499,OK
Timestamp: 02/02/15 08:21:32,XK00001402,5596,Failure
Timestamp: 02/02/15 08:22:47,XK00001402,5993,Failure
Timestamp: 02/02/15 08:26:53,XK00001402,2138,OK
Timestamp: 02/03/15 08:27:24,XK00001402,3840,OK
Timestamp: 02/04/15 08:30:28,XK00001402,6237,Failure
Timestamp: 02/04/15 08:32:16,WK00001576,5655,Failure
Timestamp: 02/04/15 08:34:25,WK00001576,5777,Failure
Timestamp: 02/04/15 08:38:47,WK00001576,6712,Failure
Timestamp: 02/04/15 08:40:44,WK00001576,1003,OK
Timestamp: 02/04/15 08:45:04,WK00001576,2603,OK
Timestamp: 02/04/15 08:45:43,WK00001576,3900,OK
Timestamp: 02/04/15 08:50:58,WK00001576,2008,OK
Timestamp: 02/04/15 08:52:49,WK00001576,7018,Failure
Timestamp: 02/04/15 08:56:49,WK00001576,5451,Failure
Timestamp: 02/04/15 08:57:37,WK00001576,6057,Failure
Timestamp: 02/05/15 08:59:37,WK00001576,3492,OK
Timestamp: 02/05/15 08:59:50,WK00001576,140,OK
Timestamp: 02/05/15 09:00:57,WK00001576,2248,OK
Timestamp: 02/05/15 09:05:48,WK00001576,312,OK
Timestamp: 02/05/15 09:11:26,WK00001576,2515,OK
Timestamp: 02/05/15 09:12:52,WK00001576,5469,Failure
Timestamp: 02/05/15 09:15:17,WK00001576,687,OK
Timestamp: 02/06/15 09:19:10,WK00001576,576,OK
Timestamp: 02/06/15 09:20:38,WK00001576,1437,OK
Timestamp: 02/06/15 09:20:55,WK00001576,5369,Failure
Timestamp: 02/06/15 09:24:20,WK00001576,708,OK
Timestamp: 02/06/15 09:27:55,WK00001576,1498,OK
Timestamp: 02/06/15 09:28:46,WK00001576,1439,OK
Timestamp: 02/06/15 09:29:53,WK00001576,27,OK
Timestamp: 02/06/15 09:34:29,WK00001576,1259,OK
Timestamp: 02/07/15 09:34:31,WK00001576,1847,OK
Timestamp: 02/07/15 09:38:19,WK00001576,5549,Failure
Timestamp: 02/07/15 09:39:32,WK00001576,1731,OK
Timestamp: 02/08/15 09:40:51,WK00001576,2212,OK
Timestamp: 02/08/15 09:41:13,WK00001576,1607,OK
Timestamp: 02/08/15 09:46:15,WK00001576,1302,OK
Timestamp: 02/08/15 09:50:22,WK00001576,899,OK
Timestamp: 02/08/15 09:51:02,WK00001576,5495,Failure
Timestamp: 02/09/15 09:54:44,WK00001576,2576,OK
Timestamp: 02/09/15 09:55:28,WK00001576,1121,OK
Timestamp: 02/09/15 09:57:32,WK00001576,5755,Failure
Timestamp: 02/09/15 10:01:08,WK00001576,6131,Failure
Timestamp: 02/09/15 10:03:39,WK00001576,5483,Failure
Timestamp: 02/09/15 10:07:06,YZ00001723,9858,Failure
Timestamp: 02/09/15 10:07:55,YZ00001723,4792,OK
Timestamp: 02/09/15 10:11:38,YZ00001723,9184,Failure
Timestamp: 02/09/15 10:17:05,YZ00001723,9304,Failure
Timestamp: 02/09/15 10:19:24,YZ00001723,9767,Failure
Timestamp: 02/09/15 10:22:42,YZ00001723,8694,Failure
Timestamp: 02/09/15 10:26:54,YZ00001723,7444,Failure
Timestamp: 02/09/15 10:31:08,YZ00001723,8635,Failure
Timestamp: 02/09/15 10:36:28,YZ00001723,9597,Failure
Timestamp: 02/09/15 10:37:09,YZ00001723,7683,Failure
Timestamp: 02/10/15 10:42:08,YZ00001723,9987,Failure
Timestamp: 02/10/15 10:46:35,YZ00001723,4730,OK
Timestamp: 02/10/15 10:49:48,YZ00001723,9494,Failure
Timestamp: 02/10/15 10:54:41,YZ00001723,8895,Failure
Timestamp: 02/10/15 10:55:26,YZ00001723,7235,Failure
Timestamp: 02/10/15 11:00:45,YZ00001723,9013,Failure
Timestamp: 02/10/15 11:03:44,YZ00001723,7244,Failure
Timestamp: 02/10/15 11:05:36,YZ00001723,7867,Failure
Timestamp: 02/10/15 11:08:36,YZ00001723,4725,OK
Timestamp: 02/10/15 11:10:52,YZ00001723,9211,Failure
Timestamp: 02/10/15 11:13:15,YZ00001723,3706,OK
Timestamp: 02/10/15 11:18:42,YZ00001723,9748,Failure
Timestamp: 02/10/15 11:24:21,YZ00001723,4567,OK
Timestamp: 02/10/15 11:30:09,YZ00001723,8598,Failure
Timestamp: 02/10/15 11:31:32,YZ00001723,9128,Failure
Timestamp: 02/10/15 11:31:51,YZ00001723,4695,OK
Timestamp: 02/10/15 11:37:22,YZ00001723,8457,Failure
Timestamp: 02/10/15 11:39:50,YZ00001723,7808,Failure
Timestamp: 02/10/15 11:43:01,YZ00001723,8585,Failure
Timestamp: 02/10/15 11:44:53,YZ00001723,8330,Failure
Timestamp: 02/11/15 11:49:07,YZ00001723,9290,Failure
Timestamp: 02/11/15 11:52:04,XK00001402,5150,Failure
Timestamp: 02/11/15 11:53:28,XK00001402,5410,Failure
Timestamp: 02/11/15 11:56:41,XK00001402,6441,Failure
Timestamp: 02/11/15 12:01:38,XK00001402,1459,OK
Timestamp: 02/11/15 12:02:09,XK00001402,3808,OK
Timestamp: 02/11/15 12:05:54,XK00001402,5146,Failure
Timestamp: 02/11/15 12:07:27,XK00001402,4121,OK
Timestamp: 02/11/15 12:10:12,XK00001402,3576,OK
Timestamp: 02/11/15 12:11:07,XK00001402,1769,OK
Timestamp: 02/11/15 12:16:32,XK00001402,1039,OK
Timestamp: 02/12/15 12:20:51,XK00001402,980,OK
Timestamp: 02/12/15 12:25:37,XK00001402,5134,Failure
Timestamp: 02/12/15 12:27:55,XK00001402,6012,Failure
Timestamp: 02/13/15 12:31:57,XK00001402,5437,Failure
Timestamp: 02/13/15 12:37:08,XK00001402,3768,OK
Timestamp: 02/13/15 12:41:02,XK00001402,5167,Failure
Timestamp: 02/14/15 12:44:14,XK00001402,1021,OK
Timestamp: 02/14/15 12:49:46,XK00001402,2229,OK
Timestamp: 02/14/15 12:55:31,XK00001402,494,OK
Timestamp: 02/14/15 12:57:44,XK00001402,522,OK
Timestamp: 02/14/15 13:02:47,XK00001402,1285,OK
Timestamp: 02/14/15 13:08:14,XK00001402,6880,Failure
Timestamp: 02/14/15 13:12:04,XK00001402,3539,OK
Timestamp: 02/14/15 13:14:47,XK00001402,7161,Failure
Timestamp: 02/14/15 13:19:37,XK00001402,5963,Failure
Timestamp: 02/14/15 13:25:34,XK00001402,292,OK
Timestamp: 02/14/15 13:27:31,XK00001402,5174,Failure
Timestamp: 02/14/15 13:31:38,XK00001402,5627,Failure
Timestamp: 02/15/15 13:37:32,XK00001402,2032,OK
Timestamp: 02/15/15 13:42:50,XK00001402,5657,Failure
Timestamp: 02/15/15 13:48:23,XK00001402,6409,Failure
Timestamp: 02/15/15 13:49:45,XK00001402,7932,Failure
Timestamp: 02/15/15 13:54:23,WK00001576,2036,OK
Timestamp: 02/15/15 13:57:17,WK00001576,6445,Failure
Timestamp: 02/15/15 14:01:15,WK00001576,1456,OK
Timestamp: 02/15/15 14:01:23,WK00001576,4176,OK
Timestamp: 02/15/15 14:05:20,WK00001576,1088,OK
Timestamp: 02/16/15 14:06:28,WK00001576,6362,Failure
Timestamp: 02/17/15 14:11:49,WK00001576,780,OK
Timestamp: 02/17/15 14:12:12,WK00001576,2950,OK
Timestamp: 02/17/15 14:12:38,WK00001576,88,OK
Timestamp: 02/17/15 14:14:46,WK00001576,37,OK
Timestamp: 02/17/15 14:18:23,WK00001576,3354,OK
Timestamp: 02/18/15 14:21:19,WK00001576,4118,OK
Timestamp: 02/18/15 14:21:50,WK00001576,6607,Failure
Timestamp: 02/18/15 14:25:17,WK00001576,762,OK
Timestamp: 02/18/15 14:30:29,WK00001576,529,OK
Timestamp: 02/18/15 14:31:40,WK00001576,9353,Failure
Timestamp: 02/18/15 14:33:29,WK00001576,926,OK
Timestamp: 02/18/15 14:39:13,WK00001576,2263,OK
Timestamp: 02/18/15 14:42:14,WK00001576,4024,OK
Timestamp: 02/18/15 14:42:20,WK00001576,901,OK
Timestamp: 02/18/15 14:43:36,WK00001576,2096,OK
Timestamp: 02/18/15 14:45:18,WK00001576,1515,OK
Timestamp: 02/18/15 14:50:02,WK00001576,942,OK
Timestamp: 02/18/15 14:51:32,WK00001576,5235,Failure
Timestamp: 02/18/15 14:52:54,WK00001576,5971,Failure
Timestamp: 02/19/15 14:55:42,WK00001576,299,OK
Timestamp: 02/19/15 14:56:48,WK00001576,1479,OK
Timestamp: 02/19/15 14:58:31,WK00001576,5357,Failure
Timestamp: 02/19/15 15:00:52,WK00001576,2339,OK
Timestamp: 02/19/15 15:02:03,WK00001576,1660,OK
Timestamp: 02/19/15 15:04:33,WK00001576,5518,Failure
Timestamp: 02/19/15 15:08:42,WK00001576,5624,Failure
Timestamp: 02/19/15 15:13:46,WK00001576,3228,OK
Timestamp: 02/19/15 15:18:26,WK00001576,2167,OK
Timestamp: 02/19/15 15:23:30,WK00001576,1806,OK
Timestamp: 02/19/15 15:29:03,WK00001576,6148,Failure
Timestamp: 02/19/15 15:29:54,YZ00001723,8874,Failure
Timestamp: 02/19/15 15:32:05,YZ00001723,9193,Failure
Timestamp: 02/19/15 15:35:54,YZ00001723,8825,Failure
Timestamp: 02/19/15 15:40:58,YZ00001723,4713,OK
Timestamp: 02/19/15 15:43:17,YZ00001723,7345,Failure
Timestamp: 02/19/15 15:48:01,YZ00001723,8723,Failure
Timestamp: 02/19/15 15:49:42,YZ00001723,7271,Failure
Timestamp: 02/19/15 15:50:50,YZ00001723,8487,Failure
Timestamp: 02/19/15 15:53:57,YZ00001723,9448,Failure
Timestamp: 02/19/15 15:57:16,YZ00001723,4975,OK
Timestamp: 02/20/15 16:02:33,YZ00001723,8446,Failure
Timestamp: 02/20/15 16:03:22,YZ00001723,8509,Failure
Timestamp: 02/20/15 16:08:15,YZ00001723,9688,Failure
Timestamp: 02/20/15 16:09:51,YZ00001723,9268,Failure
Timestamp: 02/20/15 16:10:33,YZ00001723,4514,OK
Timestamp: 02/20/15 16:16:27,YZ00001723,8756,Failure
Timestamp: 02/20/15 16:18:10,YZ00001723,9524,Failure
Timestamp: 02/20/15 16:18:18,YZ00001723,3668,OK
Timestamp: 02/20/15 16:19:00,YZ00001723,9276,Failure
Timestamp: 02/20/15 16:19:41,YZ00001723,9054,Failure
Timestamp: 02/20/15 16:20:02,YZ00001723,9709,Failure
Timestamp: 02/20/15 16:23:04,YZ00001723,9037,Failure
Timestamp: 02/20/15 16:25:58,YZ00001723,8483,Failure
Timestamp: 02/20/15 16:26:32,YZ00001723,8564,Failure
Timestamp: 02/20/15 16:26:52,YZ00001723,8744,Failure
Timestamp: 02/20/15 16:28:00,YZ00001723,8398,Failure
Timestamp: 02/20/15 16:29:11,YZ00001723,9787,Failure
Timestamp: 02/20/15 16:34:57,YZ00001723,8203,Failure
Timestamp: 02/20/15 16:39:23,YZ00001723,7513,Failure
Timestamp: 02/20/15 16:40:00,YZ00001723,9248,Failure
Timestamp: 02/20/15 16:44:26,YZ00001723,7607,Failure
Timestamp: 02/20/15 16:50:09,YZ00001723,4627,OK
Timestamp: 02/20/15 16:52:24,YZ00001723,8799,Failure
Timestamp: 02/20/15 16:58:19,YZ00001723,8946,Failure
Timestamp: 02/20/15 17:00:17,YZ00001723,4744,OK
Timestamp: 02/20/15 17:03:06,YZ00001723,9993,Failure
Timestamp: 02/20/15 17:05:36,YZ00001723,4720,OK
Timestamp: 02/20/15 17:10:21,YZ00001723,8306,Failure
Timestamp: 02/20/15 17:14:53,YZ00001723,7269,Failure
Timestamp: 02/20/15 17:16:32,YZ00001723,4457,OK
Timestamp: 02/20/15 17:19:07,YZ00001723,7228,Failure
Timestamp: 02/20/15 17:22:03,YZ00001723,9707,Failure
Timestamp: 02/21/15 17:27:12,YZ00001723,9502,Failure
Timestamp: 02/21/15 17:29:15,YZ00001723,9886,Failure
Timestamp: 02/21/15 17:29:22,XK00001402,3972,OK
Timestamp: 02/21/15 17:29:32,XK00001402,588,OK
Timestamp: 02/21/15 17:31:45,XK00001402,2246,OK
Timestamp: 02/21/15 17:32:28,XK00001402,5137,Failure
Timestamp: 02/21/15 17:33:14,XK00001402,3157,OK
Timestamp: 02/21/15 17:34:36,XK00001402,6260,Failure
Timestamp: 02/21/15 17:39:08,XK00001402,2513,OK
Timestamp: 02/21/15 17:44:40,XK00001402,6386,Failure
Timestamp: 02/21/15 17:50:24,XK00001402,8417,Failure
Timestamp: 02/22/15 17:55:45,XK00001402,201,OK
Timestamp: 02/22/15 17:56:45,XK00001402,849,OK
Timestamp: 02/22/15 18:02:38,XK00001402,2293,OK
Timestamp: 02/22/15 18:03:20,XK00001402,8060,Failure
Timestamp: 02/22/15 18:07:25,XK00001402,9368,Failure
Timestamp: 02/22/15 18:12:05,XK00001402,300,OK
Timestamp: 02/22/15 18:16:44,XK00001402,8032,Failure
Timestamp: 02/23/15 18:22:04,XK00001402,670,OK
Timestamp: 02/23/15 18:24:11,XK00001402,5277,Failure
Timestamp: 02/23/15 18:28:42,XK00001402,490,OK
Timestamp: 02/23/15 18:30:44,XK00001402,3264,OK
Timestamp: 02/23/15 18:36:37,XK00001402,30,OK
Timestamp: 02/23/15 18:38:09,XK00001402,196,OK
Timestamp: 02/23/15 18:43:11,XK00001402,1540,OK
Timestamp: 02/23/15 18:45:25,XK00001402,4145,OK
Timestamp: 02/23/15 18:46:09,XK00001402,1666,OK
Timestamp: 02/23/15 18:46:42,XK00001402,3166,OK
Timestamp: 02/23/15 18:48:10,XK00001402,5318,Failure
Timestamp: 02/23/15 18:48:30,XK00001402,3937,OK
Timestamp: 02/23/15 18:53:51,XK00001402,3158,OK
Timestamp: 02/23/15 18:59:43,XK00001402,16,OK
Timestamp: 02/23/15 19:02:53,XK00001402,7144,Failure
Timestamp: 02/23/15 19:04:21,XK00001402,5163,Failure
Timestamp: 02/23/15 19:05:12,XK00001402,6309,Failure
Timestamp: 02/23/15 19:10:53,XK00001402,654,OK
Timestamp: 02/23/15 19:14:50,XK00001402,2691,OK
Timestamp: 02/24/15 19:17:51,XK00001402,6554,Failure
Timestamp: 02/24/15 19:20:34,WK00001576,2076,OK
Timestamp: 02/24/15 19:22:12,WK00001576,5492,Failure
Timestamp: 02/24/15 19:27:56,WK00001576,6267,Failure
Timestamp: 02/25/15 19:33:19,WK00001576,1177,OK
Timestamp: 02/25/15 19:38:48,WK00001576,2908,OK
Timestamp: 02/25/15 19:39:38,WK00001576,1600,OK
Timestamp: 02/25/15 19:44:23,WK00001576,1362,OK
Timestamp: 02/25/15 19:50:15,WK00001576,2307,OK
Timestamp: 02/25/15 19:55:41,WK00001576,864,OK
Timestamp: 02/25/15 20:01:40,WK00001576,1018,OK
Timestamp: 02/26/15 20:05:47,WK00001576,1335,OK
Timestamp: 02/26/15 20:09:56,WK00001576,3705,OK
Timestamp: 02/27/15 20:11:50,WK00001576,6017,Failure
Timestamp: 02/27/15 20:16:27,WK00001576,2006,OK
Timestamp: 02/28/15 20:21:02,WK00001576,321,OK
Timestamp: 02/28/15 20:25:18,WK00001576,5702,Failure
Timestamp: 02/28/15 20:30:09,WK00001576,315,OK
Timestamp: 02/28/15 20:35:57,WK00001576,6015,Failure
Timestamp: 02/28/15 20:38:19,WK00001576,3763,OK
Timestamp: 02/28/15 20:43:47,WK00001576,2998,OK
Timestamp: 02/28/15 20:46:33,WK00001576,398,OK
Timestamp: 02/28/15 20:52:26,WK00001576,86,OK
Timestamp: 02/28/15 20:57:59,WK00001576,1765,OK
Timestamp: 03/01/15 20:58:49,WK00001576,3221,OK
Timestamp: 03/01/15 20:58:54,WK00001576,1306,OK
Timestamp: 03/01/15 21:01:39,WK00001576,6629,Failure
Timestamp: 03/01/15 21:06:05,WK00001576,958,OK
Timestamp: 03/01/15 21:11:49,WK00001576,6180,Failure
Timestamp: 03/01/15 21:15:54,WK00001576,7106,Failure
Timestamp: 03/01/15 21:18:57,WK00001576,5198,Failure
Timestamp: 03/01/15 21:23:14,WK00001576,7085,Failure
Timestamp: 03/01/15 21:28:08,WK00001576,134,OK
Timestamp: 03/02/15 21:31:06,WK00001576,570,OK
Timestamp: 03/02/15 21:34:14,WK00001576,3395,OK
Timestamp: 03/02/15 21:39:58,WK00001576,5131,Failure
Timestamp: 03/02/15 21:41:22,YZ00001723,9113,Failure
Timestamp: 03/03/15 21:41:26,YZ00001723,8495,Failure
Timestamp: 03/03/15 21:43:33,YZ00001723,4881,OK
Timestamp: 03/03/15 21:46:15,YZ00001723,7672,Failure
Timestamp: 03/04/15 21:51:12,YZ00001723,7884,Failure
Timestamp: 03/04/15 21:54:56,YZ00001723,9872,Failure
Timestamp: 03/04/15 21:57:19,YZ00001723,4507,OK
Timestamp: 03/04/15 21:58:32,YZ00001723,4413,OK
Timestamp: 03/05/15 22:00:35,YZ00001723,7385,Failure
Timestamp: 03/06/15 22:03:24,YZ00001723,9278,Failure
Timestamp: 03/07/15 22:06:42,YZ00001723,4556,OK
Timestamp: 03/07/15 22:07:28,YZ00001723,4774,OK
Timestamp: 03/08/15 22:08:01,YZ00001723,9766,Failure
Timestamp: 03/09/15 22:12:28,YZ00001723,9199,Failure
Timestamp: 03/09/15 22:16:27,YZ00001723,9492,Failure
Timestamp: 03/09/15 22:18:10,YZ00001723,4608,OK
Timestamp: 03/09/15 22:20:09,YZ00001723,4236,OK
Timestamp: 03/09/15 22:23:29,YZ00001723,4769,OK
Timestamp: 03/09/15 22:26:59,YZ00001723,9955,Failure
Timestamp: 03/09/15 22:30:37,YZ00001723,4908,OK
Timestamp: 03/09/15 22:34:09,YZ00001723,9505,Failure
Timestamp: 03/09/15 22:35:01,YZ00001723,4734,OK
Timestamp: 03/09/15 22:36:46,YZ00001723,7837,Failure
Timestamp: 03/09/15 22:39:24,YZ00001723,4892,OK
Timestamp: 03/09/15 22:39:35,YZ00001723,4328,OK
Timestamp: 03/09/15 22:45:34,YZ00001723,8422,Failure
Timestamp: 03/10/15 22:49:53,YZ00001723,8991,Failure
Timestamp: 03/10/15 22:55:11,YZ00001723,8550,Failure
Timestamp: 03/10/15 22:59:41,YZ00001723,4877,OK
Timestamp: 03/10/15 23:04:19,YZ00001723,7779,Failure
Timestamp: 03/10/15 23:08:52,YZ00001723,7061,Failure
Timestamp: 03/10/15 23:13:16,YZ00001723,7724,Failure
Timestamp: 03/10/15 23:13:30,YZ00001723,3773,OK
